Variable,Coefficient,Std_Error,Z_Stat,P_Value
intercept,-0.7742577812076843,0.29732015333194556,-2.6041214244338753,0.009211011740065222
HIEDUC,0.9817969448947316,0.49395761779652264,1.9876137334907262,0.04685442625107061
POVERTY,0.21727642865593982,0.42764573055723154,0.5080757578774936,0.6114002154393523
PARITY,-0.24686944585988752,0.3907159904121046,-0.6318386037886597,0.5274923454702833
SURVEY_YEAR,-0.3731776375177521,0.5429313900571131,-0.6873384820842576,0.4918694541474178
