BARGAINING_WEIGHT,SURVEY_YEAR,gw_f,gw_m,birth,HIEDUC,POVERTY
0.8580362049285541,2006,0.6,0.5,True,132,5001
0.8580362049285541,2006,0.6,0.5,True,132,5001
0.5951727979833296,2006,0.6,0.5,True,92,2811
0.6986987325102009,2006,1.0,1.0,True,122,3382
0.6986987325102009,2006,1.0,1.0,True,122,3382
0.6986987325102009,2006,1.0,1.0,True,122,3382
0.6986987325102009,2006,1.0,1.0,True,122,3382
0.6477302429414198,2006,1.0,1.0,True,122,2812
0.6477302429414198,2006,1.0,1.0,True,122,2812
0.6477302429414198,2006,1.0,1.0,True,122,2812
0.6477302429414198,2006,1.0,1.0,True,122,2812
0.6766321738749206,2006,1.0,1.0,True,122,1617
0.6766321738749206,2006,1.0,1.0,True,122,1617
0.5340161242810133,2006,1.0,1.0,True,102,2301
0.5340161242810133,2006,1.0,1.0,True,102,2301
0.5340161242810133,2006,1.0,1.0,True,102,2301
0.5340161242810133,2006,1.0,1.0,True,102,2301
0.5635439532522121,2006,1.0,1.0,True,92,4002
0.5635439532522121,2006,1.0,1.0,True,92,4002
0.5635439532522121,2006,1.0,1.0,True,92,4002
0.5635439532522121,2006,1.0,1.0,True,92,4002
0.5635439532522121,2006,1.0,1.0,True,92,4002
0.7292886897809607,2006,1.0,1.0,True,122,2331
0.4785860198934506,2006,0.6,0.5,True,92,2775
0.4785860198934506,2006,1.0,0.5,True,92,2775
0.4785860198934506,2006,0.6,1.0,True,92,2775
0.4785860198934506,2006,0.5,1.0,True,92,2775
0.8580536697482909,2006,0.5,0.5,True,132,5002
0.6910962301493873,2006,1.0,1.0,True,112,4001
0.6910962301493873,2006,1.0,1.0,True,112,4001
0.6910962301493873,2006,1.0,1.0,True,112,4001
0.6910962301493873,2006,1.0,1.0,True,112,4001
0.8387249685328793,2006,1.0,1.0,True,132,5001
0.5854322010348809,2006,1.0,0.5,True,102,1661
0.800950035337106,2006,0.6,0.5,True,122,4081
0.7507996156327127,2006,0.6,0.6,True,111,4172
0.774174994809238,2006,1.0,1.0,False,132,1256
0.7986142120977996,2006,0.6,0.6,True,121,4171
0.7604185413324499,2006,0.6,1.0,True,123,4331
0.7604185413324499,2006,0.6,1.0,True,123,4331
0.5393338300280842,2006,1.0,1.0,True,92,2271
0.3310611559387884,2006,0.6,0.6,True,72,2197
0.3310611559387884,2006,1.0,1.0,True,72,2197
0.3310611559387884,2006,1.0,1.0,True,72,2197
0.6799145719433777,2006,1.0,1.0,True,112,2591
0.8195477594346462,2006,1.0,1.0,True,142,3187
0.8195477594346462,2006,1.0,1.0,True,142,3187
0.6221437270548632,2006,1.0,1.0,True,112,2911
0.6221437270548632,2006,1.0,1.0,True,112,2911
0.6221437270548632,2006,1.0,1.0,True,112,2911
0.6386815460581364,2006,1.0,1.0,True,122,2537
0.6386815460581364,2006,1.0,1.0,True,122,2537
0.6386815460581364,2006,1.0,1.0,True,122,2537
0.6386815460581364,2006,1.0,1.0,True,122,2537
0.5479369261587778,2006,0.6,0.5,True,102,2692
0.5479369261587778,2006,1.0,1.0,True,102,2692
0.5479369261587778,2006,1.0,1.0,True,102,2692
0.5479369261587778,2006,1.0,1.0,True,102,2692
