Group,Avg_Bargaining_Power (η),Std_Dev_of_η,Observations
BLACK,0.6990171557403037,0.0,28387
HISPANIC,0.6331535379537556,0.020085792919239197,15777
WHITE,0.7406890425734409,1.1102230246251565e-16,15761
ASIAN,0.6794456443484522,1.1102230246251565e-16,5556
